street_number,actual_street_name,Suburb,price_realised_1895,details_1896,price_realised_1896,d_1895,d_1896,price_ratio,lprice_diff,lrents_diff,lgroundrents_diff,details_1897,price_realised_1897,d_1897,details_1898,price_realised_1898,d_1898,details_1899,price_realised_1899,d_1899,details_1900,price_realised_1900,d_1900,details_1901,price_realised_1901,d_1901,details_1902,price_realised_1902,d_1902,details_1903,price_realised_1903,d_1903,details_1904,price_realised_1904,d_1904,details_1905,price_realised_1905,d_1905,details_1906,price_realised_1906,d_1906,details_1907,price_realised_1907,d_1907,details_1908,price_realised_1908,d_1908,details_1909,price_realised_1909,d_1909,details_1910,price_realised_1910,d_1910,details_1911,price_realised_1911,d_1911,details_1912,price_realised_1912,d_1912,details_1913,price_realised_1913,d_1913,details_1914,price_realised_1914,d_1914
109,CHARLOTTE STREET,MARYLEBONE,75,,,-1,0,5.2,1.648658626,,,,,0,,,0,,,0,"UT 28¼ YEARS, PROFIT RENTAL 60/0/0",390,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
141,ANTILL ROAD,BOW,180,,,-1,0,1.638888889,0.494018505,,0,,,0,,,0,,,0,"UT 62 YEARS, GR 4/10/0",295,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
194,LADBROKE GROVE,NOTTING HILL,400,,,-1,0,1.25,0.223143551,,0,,,0,,,0,,,0,"UT 63½ YEARS, GR 12/0/0, ER, 60/0/0",500,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
5,WILTON CRESCENT,BELGRAVIA,4000,,,-1,0,,,,,,,0,,,0,,,0,"BENEFICIAL LEASE FOR 12 YEARS, R 300/0/0","1,200",1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
7,MERRICK SQUARE,SOUTHWARK,375,,,-1,0,0.88,-0.127833372,,0,,,0,,,0,,,0,"UT 25½ YEARS, GR 5/0/0",330,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
74,ST. PAUL STREET,ISLINGTON,242,,,-1,0,0.867768595,-0.141830195,0.057158414,0,,,0,,,0,,,0,"UT 26½ YEARS, GR 6/6/0, R 36/0/0",210,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
107,CORNWALL ROAD,WESTBOURNE PARK,1010,,,-1,0,0.920792079,-0.082521024,-0.064538521,0,,,0,,,0,,,0,,,0,"UT 63 YEARS, GR £10, R £75",930,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
18,LAMBOURNE ROAD,CLAPHAM,220,,,-1,0,1.568181818,0.449916871,0,0,,,0,,,0,,,0,,,0,"UT 43 YEARS, GR £6, R £32",345,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
37,FOURNIER STREET,SPITALFIELDS,700,,,-1,0,1.714285714,0.538996501,,,,,0,,,0,,,0,,,0,"F, R £78",1200,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
10,SUTHERLAND PLACE,BAYSWATER,325,,,-1,0,1.384615385,0.3254224,-0.058268908,0,,,0,,,0,,,0,,,0,,,0,"UT 43¼ YEARS, GR £11, YR £50",450,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
112,ST. PAUL'S ROAD,CANONBURY,345,,,-1,0,1.101449275,0.096626836,0,0,,,0,,,0,,,0,,,0,,,0,"UT 22¼ YEARS, GR £8, YR £52",380,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
37,FOURNIER STREET,SPITALFIELDS,700,,,-1,0,1.642857143,0.496436886,,,,,0,,,0,,,0,,,0,,,0,"F, WR £78",1150,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
6,OXFORD TERRACE,ISLINGTON,455,,,-1,0,1.208791209,0.189620859,0.304923879,0,,,0,,,0,,,0,,,0,,,0,"UT 452 YEARS, GR £8, WR £62 8S.",550,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
62,WILLOUGHBY LANE,TOTTENHAM,240,,,-1,0,1.104166667,0.099090903,0.018018506,,,,0,,,0,,,0,,,0,,,0,"F, R £28",265,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
22,LEYBOURNE ROAD,CAMDEN TOWN,580,,,-1,0,0.818965517,-0.1997133,0.033901552,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 26¾ YEARS, GR £7, YR £60",475,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
31,PORTLAND PLACE,MARYLEBONE,2850,,,-1,0,3.333333333,1.203972804,,,,,0,,,0,,,0,,,0,,,0,,,0,"UT 33 YEARS, GR £150 RISING TO £160, P",9500,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
42,ROTHERHITHE STREET,ROTHERHITHE,465,,,-1,0,0.967741936,-0.032789823,,,,,0,,,0,,,0,,,0,,,0,,,0,"AREA 2,700FT., F, ER £50",450,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
54,WOODBINE GROVE,PENGE,260,,,-1,0,1.076923077,0.074107972,0.087011377,,,,0,,,0,,,0,,,0,,,0,,,0,"F, WR £31 4S.",280,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
58,MARLBOROUGH ROAD,HOLLOWAY,360,,,-1,0,0.972222222,-0.028170877,-0.100083459,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 64 YEARS, GR £7 7S., YR £38",350,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
6,ALFRED STREET,ISLINGTON,340,,,-1,0,0.911764706,-0.09237332,0,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 23 YEARS, GR £3 3S., YR £40",310,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
87,GROVE PARK ROAD,TOTTENHAM,145,,,-1,0,1.034482759,0.033901552,0.087011377,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 79 YEARS, GR £6, WR £31 4S.",150,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1,SHEPPERTON ROAD,HOXTON,635,,,-1,0,0.724409449,-0.322398509,-0.223143551,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 28 YEARS, GR £8, YR £56",460,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
15,HOLFORD SQUARE,PENTONVILLE,580,,,-1,0,0.775862069,-0.253780521,0.056089467,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 28 YEARS, GR £5, ER £55",450,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
17,SALUSBURY ROAD,KILBURN,300,,,-1,0,1,0,0.248461359,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 58½ YEARS, GR £7 10S., WR £65",300,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
20,PARK HILL,CLAPHAM,750,,,-1,0,0.733333333,-0.310154928,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 38 YEARS, GR £15, ER £75",550,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
3,PRESTAGE STREET,POPLAR,265,,,-1,0,1.094339623,0.090151097,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"F, WR, £26",290,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
414,NEW CROSS ROAD,NEW CROSS,355,,,-1,0,1.971830986,0.678962546,0.624154309,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"WITH STABLING, F, YR £56",700,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
414,NEW CROSS ROAD,NEW CROSS,335,,,-1,0,2.089552239,0.736949803,0.624154309,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"WITH STABLING, F, YR £56",700,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
52,HIGH ROAD,KILBURN,2900,,,-1,0,1.448275862,0.370373788,0.113328685,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 84 YEARS, GR £58, YR £280, RISING TO £290 IN 1911 (SUB-TERM 32 YEARS)",4200,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2,OLMAR STREET,OLD KENT ROAD,230,,,-1,0,1.065217391,0.063178902,0.033901552,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 34½ YEARS, GR £5, WR £39",245,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
2,STAFFORD MEWS,KILBURN,150,,,-1,0,0.933333333,-0.068992871,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 71 YEARS, GR £5, WR £26",140,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
25,OSSORY ROAD,OLD KENT ROAD,215,,,-1,0,1.139534884,0.130620182,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 34½ YEARS, GR £5, WR £36 8S.",245,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
28,VICARAGE ROAD,TOTTENHAM,235,,,-1,0,1.468085106,0.383958903,0.074107972,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"F, ER £28",345,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
35,HAMILTON TERRACE,ST. JOHN'S WOOD,900,,,-1,0,0.833333333,-0.182321557,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 33 YEARS, GR £2, P",750,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
35,HAMILTON TERRACE,ST. JOHN'S WOOD,900,,,-1,0,1.722222222,0.543615447,0.262364265,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 33 YEARS, GR £2, ER £130",1550,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
49,DENNIS STREET,KING'S CROSS,260,,,-1,0,0.846153846,-0.167054085,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 36½ YEARS, GR £4, WR £41 12S.",220,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
88,WEYMOUTH TERRACE,HACKNEY,315,,,-1,0,0.825396825,-0.191891008,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"F, WR £32 10S.",260,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
95,STOCKWELL ROAD,STOCKWELL,400,,,-1,0,1.25,0.223143551,0.171850257,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"F, YR £38",500,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
162,RICHMOND ROAD,DALSTON,380,,,-1,0,0.921052632,-0.082238098,,-1.078809661,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 32¼ YEARS, GR £2 2S. 6D., YR £42",350,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
11,CHEYNE ROW,CHELSEA,345,,,-1,0,0.782608696,-0.245122458,0.100083459,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 30¾ YEARS, GR £7, QR £42",270,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
13,ABERDEEN PLACE,MAIDA VALE,415,,,-1,0,0.542168675,-0.612178118,-0.039220713,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,"UT 16 YEARS, GR £3 13S., 6D., YR £50",225,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0
